request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_37,4417999.25,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 14,649,000.00 request. Although IDR 4,417,999.25 is available today, the full amount cannot be completed safely within 90 days."
request_38,171.8,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400.00 minimum.
request_39,56993.97,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600.00 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400.00 minimum."
request_40,357.17,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,290.30 request. Although EUR 357.17 is available today, the full amount cannot be completed safely within 90 days."
request_41,8894291.69,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000.00 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600.00 minimum."
request_42,42282.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 52,100.00 request. Although INR 42,282.41 is available today, the full amount cannot be completed safely within 90 days."
request_43,8342128.42,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000.00 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000.00 minimum."
request_44,30737.81,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800.00 in full on 15 April 2025. Paying earlier would take the balance below the INR 82,900.00 minimum."
request_45,3275615.83,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,983,000.00 request. Although IDR 3,275,615.83 is available today, the full amount cannot be completed safely within 90 days."
request_46,35126.66,affordable_with_plan,partial_payment,2024-12-03:35126.66|2024-12-15:14323.34,2024-12-15,none,"Pay INR 35,126.66 today and the remaining INR 14,323.34 on 15 December 2024. This completes the full request and keeps the INR 84,000.00 minimum protected."
request_47,19436847.62,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,114,000.00 request. Although IDR 19,436,847.62 is available today, the full amount cannot be completed safely within 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700.00 today. This leaves at least INR 71,300.00 available over the next 90 days."
request_49,12751170.05,affordable_with_plan,partial_payment,2024-03-04:12751170.05|2024-04-15:21581829.95,2024-04-15,none,"Pay IDR 12,751,170.05 today and the remaining IDR 21,581,829.95 on 15 April 2024. This completes the full request and keeps the IDR 20,275,700.00 minimum protected."
request_50,42351.55,affordable_later,wait,2025-10-15:43900,2025-10-15,none,"Pay INR 43,900.00 in full on 15 October 2025. Paying earlier would take the balance below the INR 99,700.00 minimum."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available over the next 90 days."
request_52,19388.71,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870.00 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500.00 minimum."
request_53,465.18,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments, starting 21 November 2025. This leaves at least USD 2,100.00 available."
request_54,1904.41,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528.00 request. Although ZAR 1,904.41 is available today, the full amount cannot be completed safely within 90 days."
request_55,115559.32,affordable_with_plan,partial_payment,2026-06-08:115559.32|2026-08-15:103040.68,2026-08-15,none,"Pay INR 115,559.32 today and the remaining INR 103,040.68 on 15 August 2026. This completes the full request and keeps the INR 124,300.00 minimum protected."
request_56,635.69,affordable_with_plan,partial_payment,2025-02-03:635.69|2025-02-15:245.87,2025-02-15,none,"Pay USD 635.69 today and the remaining USD 245.87 on 15 February 2025. This completes the full request and keeps the USD 2,100.00 minimum protected."
request_57,12901.63,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446.00 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700.00 minimum."
request_58,14581651.35,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 16,226,000.00 request. Although IDR 14,581,651.35 is available today, the full amount cannot be completed safely within 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments, starting 07 May 2025. This leaves at least INR 132,600.00 available."
request_60,131.44,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400.00 minimum.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments, starting 17 March 2024. This leaves at least ZAR 36,700.00 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_63,41401.62,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900.00 request. Although INR 41,401.62 is available today, the full amount cannot be completed safely within 90 days."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 36,100.00 minimum protected."
request_65,5850.39,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340.00 request. Although ZAR 5,850.39 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700.00 available over the next 90 days."
request_67,302.26,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094.00 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200.00 minimum."
request_68,1335.8,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-04-23,none,"Use 3 installments, starting 14 February 2025. This leaves at least USD 1,500.00 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.00 available over the next 90 days.
request_70,50373.61,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900.00 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000.00 minimum."
request_71,475364.25,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000.00 request. Although IDR 475,364.25 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,200.00 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400.00 today. This leaves at least INR 103,200.00 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900.00 available over the next 90 days."
request_75,15089.79,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,none,"Use 3 installments, starting 09 April 2026. This leaves at least ZAR 39,000.00 available."
request_76,249.84,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Although USD 249.84 is available today, the full amount cannot be completed safely within 90 days."
request_77,59872.82,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Pay INR 60,700.00 in full on 15 November 2025. Paying earlier would take the balance below the INR 82,200.00 minimum."
request_78,48019.15,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Pay INR 50,200.00 in full on 15 October 2025. Paying earlier would take the balance below the INR 55,200.00 minimum."
request_79,312.94,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 312.94 is available today, the full amount cannot be completed safely within 90 days."
request_80,1374.68,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500.00 request. Although INR 1,374.68 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600.00 available over the next 90 days."
request_82,310.47,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100.00 minimum."
request_83,5737.63,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200.00 request. Although INR 5,737.63 is available today, the full amount cannot be completed safely within 90 days."
request_84,23556.2,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400.00 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300.00 minimum."
request_85,367767.97,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000.00 request. Although IDR 367,767.97 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900.00 available over the next 90 days."
request_87,21424.43,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900.00 request. Although INR 21,424.43 is available today, the full amount cannot be completed safely within 90 days."
request_88,10734.0,affordable_with_plan,partial_payment,2024-06-07:10734|2024-07-15:15358,2024-07-15,none,"Pay ZAR 10,734.00 today and the remaining ZAR 15,358.00 on 15 July 2024. This completes the full request and keeps the ZAR 25,800.00 minimum protected."
request_89,9324615.66,affordable_with_plan,partial_payment,2025-11-04:9324615.66|2026-01-15:4431384.34,2026-01-15,none,"Pay IDR 9,324,615.66 today and the remaining IDR 4,431,384.34 on 15 January 2026. This completes the full request and keeps the IDR 12,534,700.00 minimum protected."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600.00 available over the next 90 days."
request_91,289.43,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100.00 minimum."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100.00 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900.00 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600.00 available over the next 90 days.
request_95,3835.38,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000.00 request. Although INR 3,835.38 is available today, the full amount cannot be completed safely within 90 days."
request_96,72506.46,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-03-15,none,"Use 3 installments, starting 10 January 2026. This leaves at least INR 56,500.00 available."
request_97,1454.36,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-15,none,"Use 3 installments, starting 19 March 2024. This leaves at least ZAR 29,700.00 available."
request_98,7535.44,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148.00 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000.00 minimum."
request_99,17497.76,affordable_later,wait,2026-07-15:18062,2026-07-15,none,"Pay ZAR 18,062.00 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 49,100.00 minimum."
request_100,8443.18,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 37,114.00 request. Although ZAR 8,443.18 is available today, the full amount cannot be completed safely within 90 days."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400.00 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments, starting 05 April 2026. This leaves at least EUR 900.00 available."
request_103,1861.95,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300.00 request. Although INR 1,861.95 is available today, the full amount cannot be completed safely within 90 days."
request_104,6052.56,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 17,204.00 request. Although ZAR 6,052.56 is available today, the full amount cannot be completed safely within 90 days."
request_105,51071.86,affordable_later,wait,2026-06-15:53500,2026-06-15,none,"Pay INR 53,500.00 in full on 15 June 2026. Paying earlier would take the balance below the INR 73,900.00 minimum."
request_106,459.88,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200.00 minimum."
request_107,422.48,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,534.40 request. Although EUR 422.48 is available today, the full amount cannot be completed safely within 90 days."
request_108,1754.06,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308.00 request. Although ZAR 1,754.06 is available today, the full amount cannot be completed safely within 90 days."
request_109,520.62,affordable_with_plan,partial_payment,2024-03-04:520.62|2024-05-15:1342.78,2024-05-15,none,"Pay EUR 520.62 today and the remaining EUR 1,342.78 on 15 May 2024. This completes the full request and keeps the EUR 1,700.00 minimum protected."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments, starting 06 August 2025. This leaves at least ZAR 11,200.00 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 23,022,800.00 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500.00 available over the next 90 days.
request_113,21302.27,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500.00 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300.00 minimum."
request_114,58979.91,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Pay INR 65,300.00 in full on 15 January 2026. Paying earlier would take the balance below the INR 113,400.00 minimum."
request_115,14848.07,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500.00 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800.00 minimum."
request_116,9538.59,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200.00 request. Although INR 9,538.59 is available today, the full amount cannot be completed safely within 90 days."
request_117,857.35,affordable_later,wait,2026-07-15:880,2026-07-15,none,"Pay EUR 880.00 in full on 15 July 2026. Paying earlier would take the balance below the EUR 1,000.00 minimum."
request_118,627.54,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,none,"Use 3 installments, starting 07 December 2024. This leaves at least EUR 600.00 available."
request_119,59015.02,affordable_with_plan,partial_payment,2025-05-04:59015.02|2025-06-15:144484.98,2025-06-15,none,"Pay INR 59,015.02 today and the remaining INR 144,484.98 on 15 June 2025. This completes the full request and keeps the INR 151,200.00 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300.00 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800.00 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments, starting 05 August 2025. This leaves at least IDR 12,588,500.00 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200.00 available over the next 90 days."
request_124,1402.01,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-15,none,"Use 3 installments, starting 11 June 2024. This leaves at least EUR 1,600.00 available."
request_125,5733.1,affordable_later,wait,2025-11-15:6468,2025-11-15,none,"Pay ZAR 6,468.00 in full on 15 November 2025. Paying earlier would take the balance below the ZAR 11,300.00 minimum."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 today. This leaves at least INR 129,700.00 available over the next 90 days."
request_127,7377.01,affordable_later,wait,2024-11-15:23980,2024-11-15,none,"Pay ZAR 23,980.00 in full on 15 November 2024. Paying earlier would take the balance below the ZAR 41,000.00 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600.00 available over the next 90 days."
request_129,113.97,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 113.97 is available today, the full amount cannot be completed safely within 90 days."
request_130,364.72,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Pay USD 1,978.80 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,400.00 minimum."
request_131,1136.97,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,none,"Use 3 installments, starting 06 May 2025. This leaves at least USD 1,100.00 available."
request_132,291.49,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100.00 minimum."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with the IDR 15,770,000.00 request. Although IDR 15,770,000.00 is available today, the full amount cannot be completed safely within 90 days."
request_134,4451971.38,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000.00 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500.00 minimum."
request_135,284.76,affordable_later,wait,2026-07-15:304.80,2026-07-15,none,Pay USD 304.80 in full on 15 July 2026. Paying earlier would take the balance below the USD 500.00 minimum.
request_136,529.36,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,"Pay USD 560.40 in full on 15 June 2024. Paying earlier would take the balance below the USD 1,100.00 minimum."
request_137,26148.15,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100.00 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800.00 minimum."
request_138,756.19,affordable_with_plan,partial_payment,2026-04-07:756.19|2026-04-15:500.75,2026-04-15,none,"Pay EUR 756.19 today and the remaining EUR 500.75 on 15 April 2026. This completes the full request and keeps the EUR 2,300.00 minimum protected."
request_139,1330.4,affordable_with_plan,partial_payment,2024-09-04:1330.40|2024-11-15:985.60,2024-11-15,none,"Pay USD 1,330.40 today and the remaining USD 985.60 on 15 November 2024. This completes the full request and keeps the USD 1,500.00 minimum protected."
request_140,1425.81,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832.00 request. Although ZAR 1,425.81 is available today, the full amount cannot be completed safely within 90 days."
request_141,20825.69,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600.00 request. Although INR 20,825.69 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700.00 available over the next 90 days."
request_143,2465.23,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584.00 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300.00 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600.00 available over the next 90 days.
request_145,28335.57,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments, starting 20 March 2024. This leaves at least INR 155,400.00 available."
request_146,16093.17,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400.00 request. Although INR 16,093.17 is available today, the full amount cannot be completed safely within 90 days."
request_147,478.21,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments, starting 08 April 2026. This leaves at least EUR 900.00 available."
request_148,7120.37,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with the ZAR 22,242.00 request. Although ZAR 7,120.37 is available today, the full amount cannot be completed safely within 90 days."
request_149,22537.14,affordable_with_plan,partial_payment,2025-11-04:22537.14|2025-12-15:14114.86,2025-12-15,none,"Pay ZAR 22,537.14 today and the remaining ZAR 14,114.86 on 15 December 2025. This completes the full request and keeps the ZAR 42,100.00 minimum protected."
request_150,275.4,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,none,"Use 3 installments, starting 06 January 2026. This leaves at least EUR 700.00 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600.00 available over the next 90 days."
request_152,11114.63,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,none,"Use 3 installments, starting 12 February 2025. This leaves at least ZAR 11,900.00 available."
request_153,8.58,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 8.58 is available today, the full amount cannot be completed safely within 90 days."
request_154,1552.96,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2025-02-15,none,"Use 3 installments, starting 04 December 2024. This leaves at least EUR 1,300.00 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500.00 today. This leaves at least INR 56,300.00 available over the next 90 days."
request_156,8525.28,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076.00 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900.00 minimum."
request_157,4753445.22,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Pay IDR 23,503,000.00 in full on 15 April 2024. Paying earlier would take the balance below the IDR 15,714,100.00 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments, starting 07 August 2025. This leaves at least INR 131,400.00 available."
request_159,5074.26,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398.00 request. Although ZAR 5,074.26 is available today, the full amount cannot be completed safely within 90 days."
request_160,570.28,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments, starting 13 June 2024. This leaves at least EUR 1,200.00 available."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 23,010,400.00 minimum protected."
request_162,1123678.76,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000.00 request. Although IDR 1,123,678.76 is available today, the full amount cannot be completed safely within 90 days."
request_163,8739824.66,affordable_with_plan,partial_payment,2024-09-07:8739824.66|2024-11-15:10564175.34,2024-11-15,none,"Pay IDR 8,739,824.66 today and the remaining IDR 10,564,175.34 on 15 November 2024. This completes the full request and keeps the IDR 26,728,700.00 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments, starting 11 February 2025. This leaves at least IDR 29,550,500.00 available."
request_165,65790.11,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,600.00 request. Although INR 65,790.11 is available today, the full amount cannot be completed safely within 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments, starting 03 December 2024. This leaves at least USD 1,700.00 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200.00 available over the next 90 days."
request_168,30941.36,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the INR 49,380.00 request. Although INR 30,941.36 is available today, the full amount cannot be completed safely within 90 days."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976.00 today. This leaves at least ZAR 18,700.00 available over the next 90 days."
request_170,30061352.58,affordable_with_plan,partial_payment,2025-08-06:30061352.58|2025-09-15:6874647.42,2025-09-15,none,"Pay IDR 30,061,352.58 today and the remaining IDR 6,874,647.42 on 15 September 2025. This completes the full request and keeps the IDR 24,715,800.00 minimum protected."
request_171,33.68,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 33.68 is available today, the full amount cannot be completed safely within 90 days."
request_172,9130.37,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-15,none,"Use 2 installments, starting 05 June 2024. This leaves at least ZAR 27,200.00 available."
request_173,55311.88,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments, starting 21 November 2025. This leaves at least INR 79,100.00 available."
request_174,1081.03,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,none,"Use 3 installments, starting 04 April 2026. This leaves at least EUR 700.00 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700.00 available over the next 90 days."
request_176,11.87,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 11.87 is available today, the full amount cannot be completed safely within 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments, starting 07 December 2024. This leaves at least EUR 1,400.00 available."
